ID;LANGUAGE_ID;ACRONYM;LABEL
GREENSEFA;MT;Ħodor/AĦE;Grupp tal-Ħodor/Alleanza Ħielsa Ewropea
GREENSEFA;NL;Groenen/EVA;Fractie De Groenen/Vrije Europese Alliantie
GREENSEFA;PL;Zieloni/WSE;Grupa Zielonych / Wolne Przymierze Europejskie
GREENSEFA;PT;Verdes/ALE;Grupo dos Verdes/Aliança Livre Europeia
GREENSEFA;RO;Verts/ALE;Grupul Verzilor/Alianța Liberă Europeană
GREENSEFA;SK;Zelení/ESA;Skupina zelených/Európska slobodná aliancia
GREENSEFA;SL;Zeleni/ESZ;Skupina Zelenih/Evropske svobodne zveze
GREENSEFA;SV;Gröna/EFA;Gruppen De gröna/Europeiska fria alliansen
ENF;EN;ID;Identity and Democracy
ENF;ES;ID;Identity and Democracy
ENF;BG;ID;Identity and Democracy
ENF;CS;ID;Identita a Demokracie
ENF;DA;ID;Identitet og Demokrati
ENF;DE;ID;Identität und Demokratie
ENF;EL;ID;Identity and Democracy
ENF;ET;ID;Identiteet ja Demokraatia
ENF;FI;ID;Identiteetti ja Demokratia
ENF;FR;ID;Identité et Démocratie
ENF;GA;ID;Identity and Democracy
ENF;HR;ID;Identity and Democracy
ENF;HU;ID;Identity and Democracy
ENF;IT;ID;Identità e Democrazia
ENF;LV;ID;Identity and Democracy
ENF;LT;ID;Identity and Democracy
ENF;MT;ID;Identity and Democracy
ENF;NL;ID;Identiteit en Democratie
ENF;PL;ID;Identity and Democracy
ENF;PT;ID;Identity and Democracy
ENF;RO;ID;Identity and Democracy
ENF;SK;ID;Identity and Democracy
ENF;SL;ID;Identity and Democracy
ENF;SV;ID;Identity and Democracy
NA;EN;NI;Non-attached Members
NA;ES;NI;No inscritos
NA;BG;NI;Независими членове
NA;CS;NI;Nezařazení poslanci
NA;DA;NI;Løsgængere
NA;DE;NI;Fraktionslos
NA;EL;NI;Μη Εγγεγραμμένοι
NA;ET;NI;Fraktsioonilise kuuluvuseta parlamendiliikmed
NA;FI;NI;Sitoutumattomat
NA;FR;NI;Non-inscrits
NA;GA;NI;Feisirí Neamhcheangailte
NA;HR;NI;Nezavisni zastupnici
NA;HU;NI;független képviselők
NA;IT;NI;Non iscritti
NA;LV;NI;Pie politiskajām grupām nepiederošie deputāti
NA;LT;NI;Nepriklausomi nariai
NA;MT;NI;Membri mhux affiljati
NA;NL;NI;Niet-fractiegebonden leden
NA;PL;NI;Niezrzeszeni
NA;PT;NI;Não Inscritos
NA;RO;NI;Deputați neafiliați
NA;SK;NI;Nezaradení poslanci
NA;SL;NI;Samostojni poslanci
NA;SV;NI;Grupplösa
